From,To,Hour,Fuel,Value,Technology
UK,UK,21,Power,-0.0,Export
DE,DE,22,Power,-0.0,Export
FR,DE,22,Power,-0.0,Export
NO,DE,22,Power,-0.0,Export
DK,DE,22,Power,-0.0,Export
UK,DE,22,Power,-0.0,Export
DE,FR,22,Power,0.4932262713792263,Export
FR,FR,22,Power,-0.0,Export
NO,FR,22,Power,-0.0,Export
DK,FR,22,Power,-0.0,Export
UK,FR,22,Power,6.104850812708265,Export
DE,NO,22,Power,-0.0,Export
FR,NO,22,Power,-0.0,Export
NO,NO,22,Power,-0.0,Export
DK,NO,22,Power,-0.0,Export
UK,NO,22,Power,-0.0,Export
DE,DK,22,Power,-0.0,Export
FR,DK,22,Power,-0.0,Export
NO,DK,22,Power,-0.0,Export
DK,DK,22,Power,-0.0,Export
UK,DK,22,Power,-0.0,Export
DE,UK,22,Power,-0.0,Export
FR,UK,22,Power,-0.0,Export
NO,UK,22,Power,-0.0,Export
DK,UK,22,Power,-0.0,Export
UK,UK,22,Power,-0.0,Export
DE,DE,23,Power,-0.0,Export
FR,DE,23,Power,-0.0,Export
NO,DE,23,Power,-0.0,Export
DK,DE,23,Power,-0.0,Export
UK,DE,23,Power,-0.0,Export
DE,FR,23,Power,-0.0,Export
FR,FR,23,Power,-0.0,Export
NO,FR,23,Power,-0.0,Export
DK,FR,23,Power,-0.0,Export
UK,FR,23,Power,6.104850812708265,Export
DE,NO,23,Power,-0.0,Export
FR,NO,23,Power,-0.0,Export
NO,NO,23,Power,-0.0,Export
DK,NO,23,Power,-0.0,Export
UK,NO,23,Power,-0.0,Export
DE,DK,23,Power,1.6978266696869189,Export
FR,DK,23,Power,-0.0,Export
NO,DK,23,Power,-0.0,Export
DK,DK,23,Power,-0.0,Export
UK,DK,23,Power,-0.0,Export
DE,UK,23,Power,-0.0,Export
FR,UK,23,Power,-0.0,Export
NO,UK,23,Power,-0.0,Export
DK,UK,23,Power,-0.0,Export
UK,UK,23,Power,-0.0,Export
DE,DE,24,Power,-0.0,Export
FR,DE,24,Power,-0.0,Export
NO,DE,24,Power,-0.0,Export
DK,DE,24,Power,-0.0,Export
UK,DE,24,Power,-0.0,Export
DE,FR,24,Power,4.495273180820996,Export
FR,FR,24,Power,-0.0,Export
NO,FR,24,Power,-0.0,Export
DK,FR,24,Power,-0.0,Export
UK,FR,24,Power,6.104850812708265,Export
DE,NO,24,Power,-0.0,Export
FR,NO,24,Power,-0.0,Export
NO,NO,24,Power,-0.0,Export
DK,NO,24,Power,-0.0,Export
UK,NO,24,Power,-0.0,Export
DE,DK,24,Power,0.09416247776168346,Export
FR,DK,24,Power,-0.0,Export
NO,DK,24,Power,-0.0,Export
DK,DK,24,Power,-0.0,Export
UK,DK,24,Power,-0.0,Export
DE,UK,24,Power,-0.0,Export
FR,UK,24,Power,-0.0,Export
NO,UK,24,Power,-0.0,Export
DK,UK,24,Power,-0.0,Export
UK,UK,24,Power,-0.0,Export
DE,DE,25,Power,-0.0,Export
FR,DE,25,Power,-0.0,Export
NO,DE,25,Power,-0.0,Export
DK,DE,25,Power,-0.0,Export
UK,DE,25,Power,-0.0,Export
DE,FR,25,Power,10.459184340509205,Export
FR,FR,25,Power,-0.0,Export
NO,FR,25,Power,-0.0,Export
DK,FR,25,Power,-0.0,Export
UK,FR,25,Power,6.104850812708265,Export
DE,NO,25,Power,-0.0,Export
FR,NO,25,Power,-0.0,Export
NO,NO,25,Power,-0.0,Export
DK,NO,25,Power,-0.0,Export
UK,NO,25,Power,-0.0,Export
